Wilayah,Tahun,Laki-laki,Perempuan,Total
Kabupaten Cilacap,2023,9.43,7.52,8.74
Kabupaten Banyumas,2023,6.71,5.71,6.35
Kabupaten Purbalingga,2023,6.57,4.28,5.61
Kabupaten Banjarnegara,2023,5.01,8.21,6.26
Kabupaten Kebumen,2023,6.05,3.79,5.11
Kabupaten Purworejo,2023,5.45,2.11,4.02
Kabupaten Wonosobo,2023,4.20,6.07,4.95
Kabupaten Magelang,2023,4.35,4.51,4.42
Kabupaten Boyolali,2023,3.78,4.40,4.05
Kabupaten Klaten,2023,4.10,4.36,4.20
Kabupaten Sukoharjo,2023,4.03,2.55,3.40
Kabupaten Wonogiri,2023,2.34,1.43,1.92
Kabupaten Karanganyar,2023,4.37,4.32,4.35
Kabupaten Sragen,2023,4.20,3.42,3.87
Kabupaten Grobogan,2023,5.08,2.52,4.02
Kabupaten Blora,2023,3.63,2.44,3.10
Kabupaten Rembang,2023,2.65,2.53,2.60
Kabupaten Pati,2023,4.15,4.50,4.29
Kabupaten Kudus,2023,3.51,2.91,3.25
Kabupaten Jepara,2023,3.35,3.36,3.35
Kabupaten Demak,2023,4.55,6.59,5.38
Kabupaten Semarang,2023,3.35,4.94,4.05
Kabupaten Temanggung,2023,2.04,2.68,2.32
Kabupaten Kendal,2023,6.93,4.15,5.76
Kabupaten Batang,2023,6.15,5.93,6.06
Kabupaten Pekalongan,2023,3.55,2.78,3.25
Kabupaten Pemalang,2023,6.99,5.82,6.55
Kabupaten Tegal,2023,9.82,6.63,8.60
Kabupaten Brebes,2023,9.73,7.72,8.98
Kota Magelang,2023,6.13,4.15,5.25
Kota Surakarta,2023,5.83,2.90,4.58
Kota Salatiga,2023,5.37,3.58,4.57
Kota Semarang,2023,4.91,7.33,5.99
Kota Pekalongan,2023,5.27,4.69,5.02
Kota Tegal,2023,4.09,9.26,6.05
